23.758820862	b
24.281655329	b
24.845895692	b
25.417551020	b
25.985850340	b
26.564489796	s
26.835170068	b
27.096054422	b
27.258616780	b
27.656825397	h
28.222562358	b
28.792267574	s
29.224739229	b
29.373106576	b
29.955714286	h
30.482902494	b
30.997437642	s
31.312335601	b
31.580566893	b
31.739183673	b
32.136122449	h
32.700839002	b
33.224172336	s
33.731156463	b
33.884557823	b
34.283560091	s
34.424331066	s
34.963378685	b
35.529614512	s
35.775600907	b
36.069365079	b
36.233764172	b
36.660793651	h
37.203673469	b
37.733446712	s
38.193628118	b
38.348163265	b
38.899070295	h
39.444557823	b
39.978911565	s
40.266893424	b
40.542834467	b
40.688231293	b
41.137142857	h
41.640068027	b
42.791564626	b
43.300907029	b
43.909682540	b
44.483061224	s
44.773492063	b
45.059705215	b
45.216258503	b
45.610975057	h
46.148730159	b
46.743514739	s
47.141292517	b
47.305215420	b
47.862426304	h
48.425306122	b
48.940725624	s
49.242380952	b
49.513378685	b
49.663151927	b
50.111700680	h
50.677641723	b
51.271972789	s
51.616122449	b
51.776394558	b
52.257732426	s
52.377165533	s
52.910294785	b
53.503310658	s
53.771360544	b
54.028117914	b
54.166213152	b
54.611156463	h
55.175963719	b
55.763356009	s
56.186575964	b
56.315011338	b
56.874920635	h
57.414263039	b
57.962630385	s
58.296145125	b
58.527709751	b
58.658208617	b
59.094081633	h
59.630362812	b
60.207006803	s
60.650952381	b
60.784535147	b
61.292675737	b
61.864580499	b
62.462063492	s
62.739092971	b
62.994603175	b
63.148526077	b
63.560045351	h
64.096371882	b
64.709637188	s
65.110544218	b
65.268117914	b
65.818866213	h
66.345827664	b
66.908594104	s
67.199251701	b
67.478798186	b
67.626984127	b
68.030907029	h
68.573356009	b
69.164671202	s
69.550090703	b
69.710453515	b
70.165260771	s
70.308231293	s
70.799977324	b
71.368049887	s
71.667619048	b
71.933242630	b
72.078503401	b
72.542675737	h
73.087845805	b
73.601043084	s
74.066009070	b
74.225011338	b
74.764263039	h
75.310907029	b
75.855691610	s
76.203537415	b
76.437981859	b
76.581700680	b
76.993832200	h
77.531519274	b
78.128956916	b
78.698639456	b
79.254126984	b
79.823378685	b
80.371700680	s
80.673560091	b
80.949387755	b
81.102267574	b
81.507732426	h
82.049455782	b
82.593832200	s
83.040612245	b
83.196507937	b
83.766054422	h
84.300453515	b
84.858117914	s
85.155328798	b
85.429977324	b
85.605011338	b
86.035986395	h
86.520340136	b
87.142607710	s
87.513310658	b
87.667369615	b
88.113673469	s
88.250249433	s
88.768888889	b
89.330090703	s
89.629614512	b
89.893560091	b
90.059410431	b
90.507777778	h
91.026938776	b
91.612879819	s
92.024149660	b
92.168866213	b
92.725691610	h
93.251337868	b
93.785487528	s
94.108412698	b
94.378208617	b
94.543741497	b
94.997414966	h
95.472766440	b
96.615782313	b
97.224217687	b
98.374761905	s
99.499138322	s
100.589841270	s
101.628185941	b
102.249886621	b
102.833650794	s
103.084489796	b
103.373560091	b
103.538276644	b
103.972585034	h
104.509909297	b
105.099183673	s
105.435782313	b
105.601564626	b
106.029977324	s
106.188072562	s
106.698208617	b
107.313038549	s
107.558299320	b
107.843741497	b
107.988866213	b
108.443310658	h
108.989455782	b
109.562970522	s
109.986553288	b
110.118004535	b
110.646893424	h
111.202244898	b
111.774761905	s
112.028435374	b
112.324580499	b
112.473015873	b
112.914036281	h
113.406167800	b
114.048503401	s
114.536099773	b
115.107573696	b
115.681065760	b
116.277913832	s
116.553968254	b
116.853106576	b
117.000385488	b
117.427414966	h
117.944217687	b
118.533900227	s
118.944965986	b
119.097278912	b
119.664580499	h
120.176780045	b
120.715691610	s
121.006258503	b
121.288571429	b
121.453106576	b
121.886893424	h
122.460204082	b
123.023424036	s
123.402335601	b
123.566099773	b
124.000249433	s
124.142993197	s
124.633197279	b
125.213424036	s
125.511723356	b
125.779773243	b
125.941383220	b
126.370952381	h
126.892086168	b
127.483764172	s
127.839319728	b
128.017233560	b
128.607369615	h
129.099115646	b
129.691836735	s
129.999954649	b
130.260657596	b
130.428503401	b
130.853582766	h
131.324489796	b
131.930589569	b
132.497482993	b
133.070589569	b
133.655873016	b
134.247913832	s
134.484013605	b
134.761065760	b
134.926462585	b
135.363854875	h
135.879705215	b
136.496780045	s
136.864172336	b
137.027868481	b
137.569455782	h
138.113333333	b
138.707029478	s
138.963378685	b
139.265895692	b
139.424104308	b
139.881678005	h
140.391632653	b
140.996598639	s
141.316439909	b
141.496258503	b
141.916394558	s
142.058480726	s
142.602970522	b
143.225442177	s
143.469455782	b
143.754217687	b
143.924331066	b
144.377823129	h
144.881269841	b
145.475079365	s
145.712131519	b
146.007256236	b
146.582108844	h
147.122517007	b
147.689727891	s
147.953083900	b
148.234149660	b
148.390385488	b
148.815374150	h
149.286507937	b
150.413582766	b
151.019274376	b
151.606303855	b
152.178684807	s
152.413106576	b
152.709773243	b
152.883741497	b
153.318027211	h
153.811247166	b
154.365555556	s
154.838775510	b
154.975079365	b
155.520022676	h
156.109637188	b
156.654943311	s
156.922426304	b
157.222766440	b
157.347346939	b
